OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,SHAPE_Area,SHAPE_Length
8,,Mt. Gilead Woods,Neighborhood,,,,,,35.59,0.06,Mt. Gilead Woods,P,,,GIS,2022/05/24 15:38:22+00,{0B7F1854-18A6-42CD-BDA4-CF6119EFD4D5},1550308.90366703,5341.89114069353
9,,Meadowbrook Forest,Neighborhood,,,,,,70.85,0.11,Meadowbrook Forest,P,,,GIS,2022/05/24 15:38:22+00,{6FE32BA0-9C9E-496F-BF73-9DBB21427BAB},3086026.56938903,7538.8190114387
12,,Just Us,Neighborhood,,,,,,17.69,0.03,Just Us,T,,,GIS,2022/05/24 15:38:22+00,{1C57E7B0-9F92-477D-9DF9-98CE4C268F94},770378.342040858,3760.12745397057
13,,Bush Mountain,Neighborhood,,,,,,49.8,0.08,Bush Mountain,S,,,GIS,2022/05/24 15:38:22+00,{50462634-1A5E-4D72-9509-06DBB9EEA0FA},2169448.61823314,7795.0860858622
14,,Briar Glen,Neighborhood,,,,,,66.55,0.1,Briar Glen,P,,,GIS,2022/05/24 15:38:22+00,{114318E1-DE48-43AA-853B-1708CAB5607F},2898718.32457546,8633.6982223542
18,,Poncey-Highland,Neighborhood,,,,,,240.47,0.38,Poncey Highlands,N,,,GIS,2022/05/24 15:38:22+00,{5AC2DA63-B808-49C1-B1C4-A3FA3B4F8FD1},10474687.162808,14120.5042757845
19,,Inman Park,Neighborhood,,,,,,383.68,0.6,Inman Park,N,,,GIS,2022/05/24 15:38:23+00,{7D64192F-7CB0-46B0-A783-33E7A509782B},16713067.8351949,18992.0795807224
20,,Candler Park,Neighborhood,,,,,,416.41,0.65,Candler Park,N,,,GIS,2022/05/24 15:38:23+00,{0F7FA6A0-1C62-4660-893F-D1402B7A93BA},18138661.0747603,17765.2219107988
21,,Edgewood,Neighborhood,,,,,,553.98,0.87,Edgewood,O,,,GIS,2022/05/24 15:38:23+00,{7699367F-7B51-457F-B02E-0A3B965455A8},24131319.4557696,22531.9087747627
22,,Custer/McDonough/Guice,Neighborhood,,,,,,288.25,0.45,Custer Ave/McDonough/Guic,W,,,GIS,2022/05/24 15:38:23+00,{9B394F40-A690-4CA6-9E3A-E76A6AC13200},12555914.6699653,16034.7155158087
