OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,SHAPE_Area,SHAPE_Length
7,,Peachtree Heights East,Neighborhood,,,,,,133.22,0.21,Peachtree Heights East,B,,,GIS,2022/05/24 15:38:22+00,{7040B465-59F1-4D32-BB1A-6340CCAB5471},5803162.14943809,9738.43889918846
8,,Mt. Gilead Woods,Neighborhood,,,,,,35.59,0.06,Mt. Gilead Woods,P,,,GIS,2022/05/24 15:38:22+00,{0B7F1854-18A6-42CD-BDA4-CF6119EFD4D5},1550308.90366703,5341.89114069353
9,,Meadowbrook Forest,Neighborhood,,,,,,70.85,0.11,Meadowbrook Forest,P,,,GIS,2022/05/24 15:38:22+00,{6FE32BA0-9C9E-496F-BF73-9DBB21427BAB},3086026.56938903,7538.8190114387
10,,Niskey Cove,Neighborhood,,,,,,52.5,0.08,Niskey Cove,P,,,GIS,2022/05/24 15:38:22+00,{C72B1769-93B6-42BA-AB9C-C7EEC486B46C},2286925.86810907,8814.79279398407
11,,Oakcliff,Neighborhood,,,,,,66.96,0.1,Oakcliff,H,,,GIS,2022/05/24 15:38:22+00,{B4963201-5EE9-4D7C-A2EE-E8CCDA782740},2916579.07084079,6926.38390121436
12,,Just Us,Neighborhood,,,,,,17.69,0.03,Just Us,T,,,GIS,2022/05/24 15:38:22+00,{1C57E7B0-9F92-477D-9DF9-98CE4C268F94},770378.342040858,3760.12745397057
13,,Bush Mountain,Neighborhood,,,,,,49.8,0.08,Bush Mountain,S,,,GIS,2022/05/24 15:38:22+00,{50462634-1A5E-4D72-9509-06DBB9EEA0FA},2169448.61823314,7795.0860858622
14,,Briar Glen,Neighborhood,,,,,,66.55,0.1,Briar Glen,P,,,GIS,2022/05/24 15:38:22+00,{114318E1-DE48-43AA-853B-1708CAB5607F},2898718.32457546,8633.6982223542
15,,Fairburn,Neighborhood,,,,,,114.84,0.18,Fairburn Avenue,P,,,GIS,2022/05/24 15:38:22+00,{670CCF24-29C4-4455-B6B0-22F130488D42},5002626.47454808,10200.7417857541
16,,Ben Hill Terrace,Neighborhood,,,,,,212.19,0.33,Ben Hill Terrace,P,,,GIS,2022/05/24 15:38:22+00,{BB2396B6-8004-4C3F-94BE-E9DAD516A31E},9243017.20098654,12950.5669815948
17,,Brandon,Neighborhood,,,,,,409.85,0.64,Brandon,C,,,GIS,2022/05/24 15:38:22+00,{F29E1386-9FEC-4907-AFAC-FBD45A723D0A},17853189.1245925,22601.8224296404
18,,Poncey-Highland,Neighborhood,,,,,,240.47,0.38,Poncey Highlands,N,,,GIS,2022/05/24 15:38:22+00,{5AC2DA63-B808-49C1-B1C4-A3FA3B4F8FD1},10474687.162808,14120.5042757845
19,,Inman Park,Neighborhood,,,,,,383.68,0.6,Inman Park,N,,,GIS,2022/05/24 15:38:23+00,{7D64192F-7CB0-46B0-A783-33E7A509782B},16713067.8351949,18992.0795807224
20,,Candler Park,Neighborhood,,,,,,416.41,0.65,Candler Park,N,,,GIS,2022/05/24 15:38:23+00,{0F7FA6A0-1C62-4660-893F-D1402B7A93BA},18138661.0747603,17765.2219107988
21,,Edgewood,Neighborhood,,,,,,553.98,0.87,Edgewood,O,,,GIS,2022/05/24 15:38:23+00,{7699367F-7B51-457F-B02E-0A3B965455A8},24131319.4557696,22531.9087747627
22,,Custer/McDonough/Guice,Neighborhood,,,,,,288.25,0.45,Custer Ave/McDonough/Guic,W,,,GIS,2022/05/24 15:38:23+00,{9B394F40-A690-4CA6-9E3A-E76A6AC13200},12555914.6699653,16034.7155158087
23,,Thomasville Heights,Neighborhood,,,,,,406.59,0.64,Thomasville Heights,Z,,,GIS,2022/05/24 15:38:23+00,{370A8E25-DA75-4510-9DDD-723AE0FB38FF},17711139.0500351,18526.0690864058
24,,Norwood Manor,Neighborhood,,,,,,332.38,0.52,Norwood Manor,Z,,,GIS,2022/05/24 15:38:23+00,{7701FFA4-5F38-4CD1-8BB9-F3A3BCE2F5C7},14478200.8520636,21780.3971271804
25,,South River Gardens,Neighborhood,,,,,,1804.02,2.82,George High,Z,,,GIS,2022/05/24 15:38:23+00,{AD4831EB-8665-4D27-955F-A3FF96C3EAE1},78582885.1064715,38580.4562999613
26,,Blair Villa/Poole Creek,Neighborhood,,,,,,847.81,1.32,Blair Villa/Poole Creek,Z,,,GIS,2022/05/24 15:38:23+00,{4D27BC55-9703-4B6B-8967-620BC1B98D1E},36930406.9653131,27804.4174333533
27,,Rosedale Heights,Neighborhood,,,,,,200.03,0.31,Rosedale Heights,Z,,,GIS,2022/05/24 15:38:23+00,{F3A0E4E2-8CF8-4F65-AF59-12B8DA058AC2},8713077.42047444,15290.0484536925
28,,Lakewood,Neighborhood,,,,,,343.51,0.54,Lakewood,Z,,,GIS,2022/05/24 15:38:23+00,{A9DE02BA-02F3-4652-82CB-231BCC032ADC},14963436.516558,16265.9447459908
29,,Ridgedale Park,Neighborhood,,,,,,116.44,0.18,Ridgedale Park,B,,,GIS,2022/05/24 15:38:23+00,{E4A162B2-1684-4E41-8FF4-5D7D9E83BEBA},5071968.64653219,9909.10824169047
30,,Lindbergh/Morosgo,Neighborhood,,,,,,383.43,0.6,Lindbergh Morosgo,B,,,GIS,2022/05/24 15:38:23+00,{4F56681D-BF57-4FD0-8FC6-3D16E55A95CB},16702297.0890884,18578.7392219126
31,,South Tuxedo Park,Neighborhood,,,,,,243.99,0.38,South Tuxedo Park,B,,,GIS,2022/05/24 15:38:23+00,{6BF972DB-C327-4501-B2E6-4CEA33F41344},10628146.2056504,16339.192760247
32,,Buckhead Village,Neighborhood,,,,,,127.21,0.2,Buckhead Village,B,,,GIS,2022/05/24 15:38:23+00,{ED28CC83-BB5C-4EC2-8DA5-F47473E1FAB0},5541157.68709807,11010.9630257405
33,,Lindridge/Martin Manor,Neighborhood,,,,,,451.7,0.71,Lindridge-Martin Manor,F,,,GIS,2022/05/24 15:38:23+00,{90BE0814-C29E-4291-A2CC-92C43CD2C1E4},19676041.0772148,19387.2815573959
34,,Atkins Park,Neighborhood,,,,,,34.72,0.05,Atkins Park,F,,,GIS,2022/05/24 15:38:23+00,{DBB8794B-36D0-4BBD-B1C4-B9A987C608EE},1512562.99774099,5200.58013431001
35,,Piedmont Heights,Neighborhood,,,,,,310.55,0.49,Piedmont Heights,F,,,GIS,2022/05/24 15:38:23+00,{DA81D2A5-7C53-49BE-B87A-9FD679C4AB5E},13527657.6267403,16305.3706494828
36,,Whitewater Creek,Neighborhood,,,,,,241.28,0.38,Whitewater Creek,A,,,GIS,2022/05/24 15:38:23+00,{0BF9036B-0713-4060-8F9A-75FD0EBA961A},10510228.8307666,15940.1781436255
37,,West Paces Ferry/Northside,Neighborhood,,,,,,427.99,0.67,West Paces Ferry/Northsid,A,,,GIS,2022/05/24 15:38:23+00,{ABA61E88-73AD-4CAF-9217-5A66DC5A96EE},18643305.8321407,19835.8327454871
38,,Pleasant Hill,Neighborhood,,,,,,252.67,0.39,Pleasant Hill,A,,,GIS,2022/05/24 15:38:23+00,{9D7BB91C-0DCF-45DD-8F3F-6F23748D4A93},11006253.9041147,15873.2404100134
39,,Ridgewood Heights,Neighborhood,,,,,,137.02,0.21,Ridgewood Heights,C,,,GIS,2022/05/24 15:38:24+00,{6966A245-7101-4837-9445-EE2D2973BF5C},5968603.19416343,11401.3885877927
40,,Fernleaf,Neighborhood,,,,,,54.5,0.09,Fernleaf,C,,,GIS,2022/05/24 15:38:24+00,{1ED3D5BA-3F49-49D8-AE31-DFDB1E908196},2373813.25887669,7832.42989486654
41,,Westminster/Milmar,Neighborhood,,,,,,90.46,0.14,Westminster Milmar,C,,,GIS,2022/05/24 15:38:24+00,{0ADF65B4-E775-426C-A571-FEBFB6F8AF40},3940356.4582834,8756.38903524823
42,,Arden/Habersham,Neighborhood,,,,,,114.61,0.18,Arden Habersham,C,,,GIS,2022/05/24 15:38:24+00,{D5943E54-D1FC-4DD3-B549-04F6CAA14A85},4992431.60941392,13491.8818176156
43,,Woodfield,Neighborhood,,,,,,46.39,0.07,Woodfield,C,,,GIS,2022/05/24 15:38:24+00,{5C9A42E3-7F9B-4C15-8823-7800ACD0A060},2020771.5856906,5767.47068358395
44,,Springlake,Neighborhood,,,,,,152.35,0.24,Springlake,C,,,GIS,2022/05/24 15:38:24+00,{0DC5D413-A7E3-4E5A-9049-1B12A07A78B6},6636466.66325569,11532.7472374329
45,,Channing Valley,Neighborhood,,,,,,72.96,0.11,Channing Valley,C,,,GIS,2022/05/24 15:38:24+00,{F80EEC84-9208-4BB9-8F14-3BC13F1C2BB7},3178276.4304242,7665.76322765021
46,,Collier Hills,Neighborhood,,,,,,151.42,0.24,Collier Hills,C,,,GIS,2022/05/24 15:38:24+00,{AE90C4DD-AD47-49F6-8846-47B1277D1DFA},6595615.11044814,11600.4951365746
